Land Cover Type,Code,Land Cover Class,Code,Land Cover,Code,Land Use,Land Use Code
Agricultural area,100,Arable land,110,Land lying fallow,111,Fallow,FA01
Agricultural area,100,Arable land,110,Temporary grass,112,Temporary grass,TG01
Agricultural area,100,Arable land,110,Catch and cover crops,116,Catch crop,CA01
Agricultural area,100,Arable land,110,Catch and cover crops,116,Cover crop,CA02
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Chickpea,LG01
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Fenugreek,LG02
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Field beans - spring,LG03
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Green beans,LG04
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Lentils,LG05
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Lupins,LG06
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Lupins,LG06
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Peas - spring,LG07
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Soya,LG08
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Cowpea,LG09
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Bird's foot trefoil,LG10
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Lucerne,LG11
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Sweet clover,LG12
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Sainfoin,LG13
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Clover,LG14
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Mixed crop - leguminous only 1,LG15
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Mixed crop - leguminous only 2,LG16
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Mixed crop - leguminous only 3,LG17
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Mixed crop - leguminous only 4,LG18
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Mixed crop - leguminous only 5,LG19
Agricultural area,100,Arable land,110,Leguminous and nitrogen fixing crops,117,Field beans - winter,LG20
